date,start_station,arrival_station,couchette_price,sleeper_price
"Di, 16. Jun 2026",Zagreb Glavni kolodvor,München Ost,"149,80","209,80"
"Mi, 17. Jun 2026",Zagreb Glavni kolodvor,München Ost,"99,80","189,80"
"Do, 18. Jun 2026",Zagreb Glavni kolodvor,München Ost,"149,80","269,80"
"Fr, 19. Jun 2026",Zagreb Glavni kolodvor,München Ost,"129,80","239,80"
"Sa, 20. Jun 2026",Zagreb Glavni kolodvor,München Ost,,"239,80"
"So, 21. Jun 2026",Zagreb Glavni kolodvor,München Ost,"169,80","269,80"
"Mo, 22. Jun 2026",Zagreb Glavni kolodvor,München Ost,"99,80","189,80"
"Di, 23. Jun 2026",Zagreb Glavni kolodvor,München Ost,"99,80","159,80"
"Mi, 24. Jun 2026",Zagreb Glavni kolodvor,München Ost,"99,80","209,80"
"Do, 25. Jun 2026",Zagreb Glavni kolodvor,München Ost,"149,80","239,80"
"Fr, 26. Jun 2026",Zagreb Glavni kolodvor,München Ost,"149,80","269,80"
"Sa, 27. Jun 2026",Zagreb Glavni kolodvor,München Ost,"129,80","269,80"
"So, 28. Jun 2026",Zagreb Glavni kolodvor,München Ost,"129,80","239,80"
"Mo, 29. Jun 2026",Zagreb Glavni kolodvor,München Ost,"99,80","144,80"
"Di, 30. Jun 2026",Zagreb Glavni kolodvor,München Ost,"69,80","189,80"
"Mi, 01. Jul 2026",Zagreb Glavni kolodvor,München Ost,"99,80","144,80"
"Do, 02. Jul 2026",Zagreb Glavni kolodvor,München Ost,"129,80","209,80"
"Fr, 03. Jul 2026",Zagreb Glavni kolodvor,München Ost,"169,80","269,80"
"Sa, 04. Jul 2026",Zagreb Glavni kolodvor,München Ost,"169,80","239,80"
"So, 05. Jul 2026",Zagreb Glavni kolodvor,München Ost,"129,80","239,80"
"Mo, 06. Jul 2026",Zagreb Glavni kolodvor,München Ost,"99,80","189,80"
"Di, 07. Jul 2026",Zagreb Glavni kolodvor,München Ost,"99,80","144,80"
"Mi, 08. Jul 2026",Zagreb Glavni kolodvor,München Ost,"129,80","239,80"
"Do, 09. Jul 2026",Zagreb Glavni kolodvor,München Ost,"149,80","239,80"
"Fr, 10. Jul 2026",Zagreb Glavni kolodvor,München Ost,"129,80","254,80"
"Sa, 11. Jul 2026",Zagreb Glavni kolodvor,München Ost,"169,80","209,80"
"So, 12. Jul 2026",Zagreb Glavni kolodvor,München Ost,"149,80","239,80"
"Mo, 13. Jul 2026",Zagreb Glavni kolodvor,München Ost,"129,80","169,80"
"Di, 14. Jul 2026",Zagreb Glavni kolodvor,München Ost,"149,80","189,80"
"Mi, 15. Jul 2026",Zagreb Glavni kolodvor,München Ost,"129,80","209,80"
"Do, 16. Jul 2026",Zagreb Glavni kolodvor,München Ost,"149,80","209,80"
"Fr, 17. Jul 2026",Zagreb Glavni kolodvor,München Ost,"169,80","239,80"
"Sa, 18. Jul 2026",Zagreb Glavni kolodvor,München Ost,"149,80","269,80"
"So, 19. Jul 2026",Zagreb Glavni kolodvor,München Ost,"169,80","239,80"
"Mo, 20. Jul 2026",Zagreb Glavni kolodvor,München Ost,"69,80","144,80"
"Di, 21. Jul 2026",Zagreb Glavni kolodvor,München Ost,"69,80","189,80"
"Mi, 22. Jul 2026",Zagreb Glavni kolodvor,München Ost,"99,80","209,80"
"Do, 23. Jul 2026",Zagreb Glavni kolodvor,München Ost,"129,80","279,80"
"Fr, 24. Jul 2026",Zagreb Glavni kolodvor,München Ost,"169,80","279,80"
"Sa, 25. Jul 2026",Zagreb Glavni kolodvor,München Ost,"194,80","269,80"
"So, 26. Jul 2026",Zagreb Glavni kolodvor,München Ost,"169,80","269,80"
"Mo, 27. Jul 2026",Zagreb Glavni kolodvor,München Ost,"69,80","144,80"
"Di, 28. Jul 2026",Zagreb Glavni kolodvor,München Ost,"149,80","189,80"
